'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'NotSuccession(Payment Handled, Permit APPROVED by ADMINISTRATION)';'NotSuccession';'Payment Handled';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.704
'NotChainSuccession(Payment Handled, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Payment Handled';'Permit FINAL_APPROVED by SUPERVISOR';0.997;0.701;0.665
'NotChainSuccession(Payment Handled, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Payment Handled';'Permit SUBMITTED by EMPLOYEE';0.999;0.885;0.839
'CoExistence(Payment Handled, Request Payment)';'CoExistence';'Payment Handled';'Request Payment';0.999;0.948;0.898
'NotSuccession(Payment Handled, Request Payment)';'NotSuccession';'Payment Handled';'Request Payment';0.999;0.948;0.898
'AlternatePrecedence(Request For Payment FINAL_APPROVED by SUPERVISOR, Payment Handled)';'AlternatePrecedence';'Payment Handled';'Request For Payment FINAL_APPROVED by SUPERVISOR';0.980;0.914;0.867
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Payment Handled)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Payment Handled';0.999;0.742;0.703
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Permit SUBMITTED by EMPLOYEE';1.000;0.742;0.657
'RespondedExistence(Permit APPROVED by ADMINISTRATION, Request For Payment APPROVED by ADMINISTRATION)';'RespondedExistence';'Permit APPROVED by ADMINISTRATION';'Request For Payment APPROVED by ADMINISTRATION';0.966;0.717;0.584
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Request For Payment APPROVED by ADMINISTRATION)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Request For Payment APPROVED by ADMINISTRATION';0.999;0.742;0.604
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.742;0.692
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Request Payment)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Request Payment';0.999;0.742;0.703
'ChainPrecedence(Permit SUBMITTED by EMPLOYEE, Permit APPROVED by ADMINISTRATION)';'ChainPrecedence';'Permit APPROVED by ADMINISTRATION';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.657
'AlternatePrecedence(Permit APPROVED by ADMINISTRATION, Permit APPROVED by BUDGET OWNER)';'AlternatePrecedence';'Permit APPROVED by BUDGET OWNER';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.216
'AlternatePrecedence(Permit SUBMITTED by EMPLOYEE, Permit APPROVED by SUPERVISOR)';'AlternatePrecedence';'Permit APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.161
'AlternatePrecedence(Permit SUBMITTED by EMPLOYEE, Permit FINAL_APPROVED by DIRECTOR)';'AlternatePrecedence';'Permit FINAL_APPROVED by DIRECTOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.161
'AtMost2(Permit FINAL_APPROVED by SUPERVISOR)';'AtMost2';'Permit FINAL_APPROVED by SUPERVISOR';;1.000;0.703;0.494
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Payment Handled)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Payment Handled';0.997;0.701;0.665
'NotSuccession(Permit FINAL_APPROVED by SUPERVISOR, Permit APPROVED by ADMINISTRATION)';'NotSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Permit APPROVED by ADMINISTRATION';1.000;0.703;0.522
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.703;0.623
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Request For Payment APPROVED by ADMINISTRATION)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Request For Payment APPROVED by ADMINISTRATION';0.998;0.701;0.571
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Request Payment)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Request Payment';0.985;0.693;0.657
'AlternatePrecedence(Permit SUBMITTED by EMPLOYEE, Permit FINAL_APPROVED by SUPERVISOR)';'AlternatePrecedence';'Permit FINAL_APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.623
'AtMost3(Permit SUBMITTED by EMPLOYEE)';'AtMost3';'Permit SUBMITTED by EMPLOYEE';;1.000;0.886;0.784
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Payment Handled)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Payment Handled';1.000;0.886;0.840
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request For Payment APPROVED by ADMINISTRATION)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.721
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.886;0.826
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request For Payment SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.886;0.876
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request Payment)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request Payment';1.000;0.886;0.840
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Permit FINAL_APPROVED by SUPERVISOR';0.966;0.679;0.553
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Permit SUBMITTED by EMPLOYEE';1.000;0.814;0.721
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Request For Payment SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.814;0.806
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by ADMINISTRATION)';'AlternatePrecedence';'Request For Payment APPROVED by ADMINISTRATION';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.806
