'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMost1(Payment Handled)';'AtMost1';'Payment Handled';;1.000;0.916;0.839
'RespondedExistence(Payment Handled, Request Payment)';'RespondedExistence';'Payment Handled';'Request Payment';0.999;0.915;0.838
'NotSuccession(Payment Handled, Request Payment)';'NotSuccession';'Payment Handled';'Request Payment';1.000;0.915;0.838
'Response(Request For Payment APPROVED by ADMINISTRATION, Payment Handled)';'Response';'Request For Payment APPROVED by ADMINISTRATION';'Payment Handled';0.992;0.771;0.706
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Request For Payment SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.777;0.769
'ChainPrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by ADMINISTRATION)';'ChainPrecedence';'Request For Payment APPROVED by ADMINISTRATION';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.769
'ChainPrecedence(Request For Payment APPROVED by ADMINISTRATION, Request For Payment APPROVED by BUDGET OWNER)';'ChainPrecedence';'Request For Payment APPROVED by BUDGET OWNER';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.777;0.225
'Response(Request For Payment FINAL_APPROVED by SUPERVISOR, Payment Handled)';'Response';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Payment Handled';0.992;0.910;0.833
'NotSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment APPROVED by ADMINISTRATION)';'NotSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.777;0.713
'NotChainSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.918;0.908
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR)';'AlternatePrecedence';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.908
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment REJECTED by EMPLOYEE)';'AlternatePrecedence';'Request For Payment REJECTED by EMPLOYEE';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.144
'AtMost3(Request For Payment SUBMITTED by EMPLOYEE)';'AtMost3';'Request For Payment SUBMITTED by EMPLOYEE';;0.999;0.988;0.978
'Init(Request For Payment SUBMITTED by EMPLOYEE)';'Init';'Request For Payment SUBMITTED by EMPLOYEE';;0.990;0.979;0.969
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Request Payment)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Request Payment';1.000;0.915;0.906
'AlternatePrecedence(Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment)';'AlternatePrecedence';'Request Payment';'Request For Payment FINAL_APPROVED by SUPERVISOR';0.994;0.912;0.835
'NotSuccession(Request Payment, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotSuccession';'Request Payment';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.915;0.840
'NotSuccession(Request Payment, Request For Payment SUBMITTED by EMPLOYEE)';'NotSuccession';'Request Payment';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.915;0.906
